num_of_people_rated,rating,discount,new_price,old_price,item name
5 out of 5(1),5 out of 5,23%,"₦ 33,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
5 out of 5(1),5 out of 5,,"₦ 10,000",,New Children's Shoes Breathable Sneaker Shoes
4 out of 5(2),4 out of 5,35%,"₦ 6,500","₦ 10,000",All Black Covered Slip-on Pam Slippers- With Centre
3.5 out of 5(2),3.5 out of 5,42%,"₦ 14,500","₦ 25,000",Unique White Loafers Halfs Shoe
4.7 out of 5(3),4.7 out of 5,51%,"₦ 16,980","₦ 34,800",DEPALLY BROGUE TIE SHINING DESIGNERS SHOES BLACK
4.2 out of 5(42),4.2 out of 5,63%,"₦ 11,000 - ₦ 11,500","₦ 30,000",Santiago Mens Dress All Purpose Shoe Corporate Wedding Office Slip On Quality Shoe - Black
4.5 out of 5(2),4.5 out of 5,38%,"₦ 24,999 - ₦ 27,999","₦ 39,999",Men'S Comfortable Easy Wear Formal Casual Black Office Cooperate Shoe + Shoe Box
4.5 out of 5(2),4.5 out of 5,17%,"₦ 24,999","₦ 30,000",Men Oxford Formal Shoe - Brown
3.5 out of 5(11),3.5 out of 5,23%,"₦ 25,780","₦ 33,514",Asadon Halfshoes Mules
4.3 out of 5(3),4.3 out of 5,,"₦ 6,500",,Men's Shoes Black
4.3 out of 5(4),4.3 out of 5,55%,"₦ 14,250","₦ 31,999",Luca Men’s Cooperate Shoe™
3.8 out of 5(8),3.8 out of 5,22%,"₦ 6,999","₦ 7,000 - ₦ 9,000",2022 Casual Shoes Mens Running Sneakers - Black
3 out of 5(2),3 out of 5,42%,"₦ 6,999","₦ 12,000",School Female Sneakers - Canvas
4 out of 5(5),4 out of 5,23%,"₦ 25,780","₦ 33,514",Emilio Half Shoes Mules - Black
1 out of 5(1),1 out of 5,61%,"₦ 15,500","₦ 39,800",New Arrival Football Boot Yellow
4.5 out of 5(2),4.5 out of 5,,"₦ 54,500 - ₦ 55,500",,Clarks Original Clarks  Work- Shoe
5 out of 5(2),5 out of 5,78%,"₦ 10,999","₦ 50,000",Simple Men’s Shoe – Breathable Sneakers
3.8 out of 5(5),3.8 out of 5,31%,"₦ 6,900","₦ 9,998",Children's Low Top Sneakers - White
,,42%,"₦ 14,499","₦ 25,000",Men Basket Two Buckle Leather Half Shoe Black
4.9 out of 5(9),4.9 out of 5,,"₦ 7,999 - ₦ 9,499",,Bts Back To School Cortina Children Shoes Black
4.3 out of 5(6),4.3 out of 5,10%,"₦ 9,000","₦ 10,000",Unisex White Sport/School Canvas For Kids/Adult
4.4 out of 5(5),4.4 out of 5,58%,"₦ 15,800 - ₦ 18,800","₦ 38,000",New Arrival TRAINING Boots BLACK
3 out of 5(1),3 out of 5,13%,"₦ 6,999","₦ 8,000",Ladies Everything 2023 Women Casual Fashion Sneakers - Simple Classy Work Canvas - White
3.5 out of 5(4),3.5 out of 5,29%,"₦ 4,999 - ₦ 5,999","₦ 7,000",Beautiful Children Crocs  (flower On Head May Be Different)
4.5 out of 5(8),4.5 out of 5,55%,"₦ 21,805","₦ 48,455",ADIDAS Core / Neo Sport Shoes Kids Vs Advantage Cl K
3.2 out of 5(9),3.2 out of 5,13%,"₦ 6,999","₦ 8,000",2023 Men's  Simple Sneakers - Casual Warrior Shoes - Black
3 out of 5(2),3 out of 5,,"₦ 8,000",,Children's Sport Casual Comfortable Boy & Girl Sneakers Shoe-Black
3.8 out of 5(4),3.8 out of 5,,"₦ 8,000",,Unisex Quality Baby Sandal
4.7 out of 5(20),4.7 out of 5,51%,"₦ 14,725","₦ 30,000",Shoes Shelf Doorway Hangers Indoor Storage Shoe Rack
5 out of 5(1),5 out of 5,40%,"₦ 27,000","₦ 45,000",Clarks Sophisticated Men's Leather Clark Shoe- Blak
3.5 out of 5(2),3.5 out of 5,,"₦ 5,500 - ₦ 6,000",,Children Canvas Back To School Shoe Unisex - Black + Free Stockins
4.8 out of 5(5),4.8 out of 5,50%,"₦ 5,999","₦ 12,000",Sturdy Boys Leather School Shoe
4.3 out of 5(3),4.3 out of 5,54%,"₦ 5,500","₦ 12,000",Kaotic Trendy Sneakers For Kids - (Black)
5 out of 5(1),5 out of 5,,"₦ 57,500",,Nike City Rep Women's Training
5 out of 5(1),5 out of 5,,"₦ 16,000",,Football Sport Trainers Boots For Indoor And Outdoor Training Green
3.3 out of 5(4),3.3 out of 5,50%,"₦ 3,999","₦ 7,999",High Quality Black Flat Cover Shoes
4.4 out of 5(14),4.4 out of 5,28%,"₦ 9,880","₦ 13,800",6 Layer Stainless Steel Shoe Rack - Silver
4.8 out of 5(10),4.8 out of 5,7%,"₦ 6,500","₦ 7,000",Girls Ballet Flat Shoes
5 out of 5(2),5 out of 5,,"₦ 16,000",,Football Sports Trainers Boots For Indoor And Outdoor Training Black
,,,"₦ 14,500",,Kids Girls Lovely Shiny Sandals-Gold
3.3 out of 5(6),3.3 out of 5,37%,"₦ 18,860","₦ 29,800",New Arrival  Men Classic Shoe Black GD
4.7 out of 5(7),4.7 out of 5,60%,"₦ 23,928","₦ 59,820",ADIDAS Core / Neo Sport Shoes Kids Duramo 9 K
,,29%,"₦ 32,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Shoe
4.3 out of 5(3),4.3 out of 5,27%,"₦ 3,500","₦ 4,800",Shoe Filler Inserts Adjustable Toe Plug Reusable For  Big Shoes
3.8 out of 5(4),3.8 out of 5,,"₦ 18,500",,Men's Casual PU Leather Shoes Business Dress Shoes-Black
4 out of 5(3),4 out of 5,28%,"₦ 21,000","₦ 29,000",A4 Fashion Business Soft-soled Plaid Leather Shoes-P8822 Black
2.5 out of 5(4),2.5 out of 5,50%,"₦ 25,000","₦ 50,000",Mens Suede Martin Brock Boot Bullock Formal Dress Shoes Leather Shoes Black
4 out of 5(1),4 out of 5,22%,"₦ 7,400 - ₦ 7,500","₦ 9,500",Unique Female Flat Shoe-Red
4.3 out of 5(8),4.3 out of 5,42%,"₦ 6,999","₦ 12,000",Back To School Teen Boys Shoes - Black School Shoe For Boys
3.9 out of 5(17),3.9 out of 5,38%,"₦ 38,300 - ₦ 40,800","₦ 61,280 - ₦ 65,280",Top Quality Mens Shoes Full Grain Leather Business Formal Shoes Elegant Oxford Shoes For Men Brown
5 out of 5(1),5 out of 5,79%,"₦ 5,999","₦ 28,000",Men'S Casual Fashion Sneakers - Men Breathable Sports Shoes - Red Canvas
5 out of 5(3),5 out of 5,,"₦ 7,000",,Unisex White Sport Canvas For Kids
5 out of 5(1),5 out of 5,47%,"₦ 17,980","₦ 33,800",MENS BROGUE DESIGNERS TIE   SHOES BLACK
4.5 out of 5(17),4.5 out of 5,38%,"₦ 10,990","₦ 17,790",Multi-Layer Shoe Rack/Organizer
,,,"₦ 14,000",,Boys Girls Children Boot
4.6 out of 5(9),4.6 out of 5,32%,"₦ 6,378","₦ 9,378",Defacto Girl Slipper-Flipflop - Pink
4.3 out of 5(3),4.3 out of 5,,"₦ 16,500",,SPORT NBS Strong Football Boot Red
4.7 out of 5(6),4.7 out of 5,48%,"₦ 10,500 - ₦ 11,500","₦ 20,000",One Single  Adjustable Shoe Tree Shaper And Expander
4.2 out of 5(5),4.2 out of 5,66%,"₦ 14,083","₦ 41,420",ADIDAS Core / Neo Slippers Kids Fortaswim 2 C
5 out of 5(2),5 out of 5,29%,"₦ 4,999","₦ 7,000",Beautiful Children Crocs Multi
4 out of 5(51),4 out of 5,44%,"₦ 13,999 - ₦ 14,500","₦ 25,000",Unique  Mens Basket  Leather Half Shoe - Black
1 out of 5(1),1 out of 5,34%,"₦ 6,590","₦ 9,990",5-layer Rack Shoe Rack Assemble Rrack Organizer
5 out of 5(2),5 out of 5,,"₦ 19,888",,"Rack, Cloth Hanger And Storage."
4.5 out of 5(8),4.5 out of 5,42%,"₦ 11,000 - ₦ 12,500","₦ 19,000",Varrati NEW Mens Dress All Purpose Shoe Corporate Wedding Office [[ORDER ONE SIZE LESS]
,,39%,"₦ 7,161","₦ 11,654",Defacto Boy Casual Slipper-Flipflop - Red
4.1 out of 5(8),4.1 out of 5,,"₦ 1,800",,Anti Slip Baby Crawling Protector -Navy Blue
3.9 out of 5(7),3.9 out of 5,20%,"₦ 2,000","₦ 2,500",Minnie Girl Slippers
4.8 out of 5(4),4.8 out of 5,,"₦ 7,499",,Fuce Unisex Casual School Sandal-black
,,52%,"₦ 28,000","₦ 58,200",Clarks Sophisticated Men's Leather Clark Shoe- Brown
4.5 out of 5(2),4.5 out of 5,30%,"₦ 6,999","₦ 8,999 - ₦ 9,999",Men'S Casual Outdoor Sport Shoes - Simple Comfortable Running Breathable - Red
,,27%,"₦ 36,959","₦ 50,699",Men Formal Party Business Leather Office British Dress Italian Shoes Male Red
5 out of 5(1),5 out of 5,17%,"₦ 50,000","₦ 60,000",Clarks Corporate Men's Shoes - Brown
,,,"₦ 14,000",,Football Men Strong Football Boot Green
4 out of 5(8),4 out of 5,40%,"₦ 17,800","₦ 29,800",NEW ARRIVAL CONFIRM TRAINING Boot ORANGE
3.8 out of 5(13),3.8 out of 5,49%,"₦ 4,560","₦ 9,000",Executive Business Men Leather Loafer Shoes- Black
5 out of 5(4),5 out of 5,36%,"₦ 29,000","₦ 45,500",Clarks Casual Footwear Frenzy -  Massive Discounts On The Season's Hottest Shoes
5 out of 5(2),5 out of 5,52%,"₦ 18,300","₦ 38,500",Cubana Confirm Designer Buckle Shoes Black STONE DESIGN
4.4 out of 5(5),4.4 out of 5,,"₦ 16,500",,36 Pairs Over The Door And Wall Shoe Rack Organizer
5 out of 5(1),5 out of 5,32%,"₦ 19,590","₦ 28,700",Vangelo CLASSIC CONFIRM CHAIN  DESIGNER SHOE BLACK
5 out of 5(1),5 out of 5,,"₦ 7,000",,Unisex Breathable Casual Shoe Sneakers.
,,,"₦ 7,500",,Unisex Newborn Infant Baby Girls/Boys Sandals - Multi
,,,"₦ 24,750",,Formal Shoes For Men Suede Leather Shoes Business Wedding Footwear Black
5 out of 5(1),5 out of 5,,"₦ 13,000 - ₦ 13,500",,SPORT Men Strong Football Soccer Boots Black/Blue
,,18%,"₦ 15,500","₦ 19,000",MANGO Quality Ladies Italian Shoes /Blue Colour
4.6 out of 5(5),4.6 out of 5,18%,"₦ 15,500","₦ 19,000",MANGO Quality Ladies Italian Shoes /Brown Colour
3.5 out of 5(2),3.5 out of 5,52%,"₦ 17,600","₦ 37,000",DEPALLY COOL STONE DESIGNERS SHOE BLACK
,,,"₦ 13,000",,SPORT Men Football Strong Soccer Boots White
4.3 out of 5(7),4.3 out of 5,38%,"₦ 4,980","₦ 7,998",1 Pair New Plastic Boot Tree Shaped Men's Adjustable Shoe Rack
4 out of 5(6),4 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot Yellow
2.5 out of 5(2),2.5 out of 5,80%,"₦ 20,000","₦ 100,000",Men's Foreign Half Shoe
,,4%,"₦ 57,563","₦ 59,775",Men's Fashion Brogue Carving Leather Shoes Wedding Shoes
,,37%,"₦ 9,500","₦ 15,000",Teen Boys Quality 24-7 Total Comfort' Loafers Shoe
,,33%,"₦ 11,895","₦ 17,819",Storage Shoe Cabinet Multi-layer Assembly Door
5 out of 5(2),5 out of 5,47%,"₦ 26,000","₦ 46,000 - ₦ 49,000",Clarks Clark Men Fashion Shoe Black
3.3 out of 5(28),3.3 out of 5,,"₦ 18,000",,Pgolden Signatures Men's Formal Detail Official Shoe With Silver Chain
3.3 out of 5(3),3.3 out of 5,35%,"₦ 16,999","₦ 25,999",Multilayer Shoe Rack Space Saving Stand Holder Shoe Cabinet
,,37%,"₦ 14,980","₦ 23,800",ITALIAN CHAIN LEATHER BLACK  SHOES
4 out of 5(1),4 out of 5,8%,"₦ 55,000","₦ 60,000",Clarks Corporate Men's Shoes - Black
,,24%,"₦ 6,500","₦ 8,500",Patent Leather Dual Bows Girl's Shoes
,,50%,"₦ 17,980","₦ 35,800",Depally MEN'S CLASSIC BROGUE TIE DESIGNER SHOE BROWN
5 out of 5(1),5 out of 5,45%,"₦ 48,120","₦ 87,273",Flangesio Men Luxury Leather Dress Shoes Mens Oxfords Daily Office Business Shoes Mens Fashion Loafers Casual Leather Height Increase Low Top Man Platform Shoes EUR Size 38-46
,,23%,"₦ 33,990 - ₦ 41,990","₦ 43,990 - ₦ 51,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
5 out of 5(5),5 out of 5,41%,"₦ 10,355","₦ 17,500",Executive Sturdy Boys Formal/school Shoe In Black
5 out of 5(1),5 out of 5,39%,"₦ 5,500","₦ 9,000",Quality And Durable Children School Shoes
4.6 out of 5(10),4.6 out of 5,38%,"₦ 39,700 - ₦ 42,600","₦ 63,520 - ₦ 68,160",Male Formal Shoes Men Loafers Leather Slip On Tassel Wedding Party Shoes Mens Oxfords Shoes Brown
5 out of 5(1),5 out of 5,,"₦ 5,500",,Children Back To School Shoe Unisex - Black
4.4 out of 5(35),4.4 out of 5,50%,"₦ 5,999","₦ 12,000",Girls Flat School Shoe - Black
,,50%,"₦ 25,000","₦ 50,000",Mens Suede Martin Brock Martin Boot Bullock Leather Shoe Formal Dress Shoes Brown
4 out of 5(1),4 out of 5,18%,"₦ 15,500","₦ 19,000",Oleg Quality Ladies Italian Shoes /Black Colour
4.6 out of 5(8),4.6 out of 5,,"₦ 9,000",,Fuce Boys Casual School Men Sandal-black
4 out of 5(1),4 out of 5,53%,"₦ 16,100","₦ 33,900",Men’s Cooperate Shoe Plain Designers Shoes
5 out of 5(1),5 out of 5,,"₦ 7,499",,Girls Shimmer Glitter Shinning Christmas PARTY BIRTHDAY Flat Shoe-SILVER
,,,"₦ 10,500",,SPORT Men Soccer Football Boot Z Blue
4 out of 5(3),4 out of 5,42%,"₦ 6,999","₦ 12,000",Back To School Teen Boys Shoes - Black School Shoe For Boys
4.2 out of 5(29),4.2 out of 5,58%,"₦ 11,999","₦ 28,500",Varrati Mens Dress Shoes Italian Leather Shoes Black [[ORDER A SIZE LESS]]
4.7 out of 5(21),4.7 out of 5,,"₦ 5,000",,Lovely Ladies Women Transparent Female Flat Shoe-black
4.2 out of 5(49),4.2 out of 5,10%,"₦ 8,100","₦ 9,000",Children Leather Casual Shoes
5 out of 5(1),5 out of 5,60%,"₦ 19,872","₦ 49,679",ADIDAS Core / Neo Sport Shoes Kids Vs Adv Cl Cmf C
4.5 out of 5(4),4.5 out of 5,60%,"₦ 19,872","₦ 49,679",ADIDAS Core / Neo Sport Shoes Kids Vs Advantage Clean Cmf C
4.2 out of 5(5),4.2 out of 5,76%,"₦ 3,750","₦ 15,630",Women's Spring And Summer Breathable Mesh Face Soft Sole Non-slip Shoes (green)
,,38%,"₦ 18,600","₦ 29,800",Vangelo CLASSIC CRACK LEATHER BLACK  SHOE
5 out of 5(2),5 out of 5,,"₦ 7,000",,Kids Boys Children Loafers Shoe
,,50%,"₦ 24,999 - ₦ 25,999","₦ 50,000",Men'S Casual Simple  Formal Cooperate Shoe - Brown Office Shoe + Shoe Box
4.7 out of 5(11),4.7 out of 5,60%,"₦ 21,432","₦ 53,579",ADIDAS Core / Neo Sport Shoes Kids Duramo 9 K
4.7 out of 5(6),4.7 out of 5,,"₦ 7,999",,Fuce Unisex Adult Children School Casual Sandals - Brown
4.3 out of 5(7),4.3 out of 5,,"₦ 4,999",,4D Heel Liners/ Insoles Heel Protect  -2pairs
4.7 out of 5(3),4.7 out of 5,40%,"₦ 6,300","₦ 10,500",All Black Covered Slip-on Pam Slippers- With Centre
4 out of 5(2),4 out of 5,60%,"₦ 18,357","₦ 45,900",Men's New Fashion Casual Breathable Trend Leather Shoes-White
,,60%,"₦ 5,999","₦ 15,000",Ladies Everything Women's Fashion Sport Jogging Sneakers - Ladies Cheap Casual Shoe - Size - Black
5 out of 5(1),5 out of 5,50%,"₦ 5,999","₦ 11,999",Simple Back To School Casual Runnnig Plain Black Shoes
4.3 out of 5(4),4.3 out of 5,50%,"₦ 15,000","₦ 30,000",Mens Flvour Leather Half Shoe - Black
,,10%,"₦ 9,000","₦ 10,000",Children's Martin Boots Boys And Girls Warm Boots-White
,,17%,"₦ 50,000","₦ 60,000",Clarks Classy Men's Corporate Shoe - Black
3.7 out of 5(25),3.7 out of 5,,"₦ 16,750",,O'Tega Formal Derby Lace-up Shoes - Black
4.5 out of 5(39),4.5 out of 5,45%,"₦ 54,449","₦ 98,922",Mens Stitching Style Dress Shoes Casual Shoes 38-48-Black
,,40%,"₦ 17,500","₦ 29,167",Children's Summer Sandals Beach Flat Shoes
,,50%,"₦ 4,999","₦ 10,000",Aolong Boy's Sandals - Brown
4.1 out of 5(19),4.1 out of 5,68%,"₦ 8,999","₦ 28,500",Varrati Men's Patent Leather Tuxedo Luxury Wedding Office  Shoes - Black
,,17%,"₦ 50,000","₦ 60,000",Clarks Men's Shiny Corporate Shoe - Black
3.9 out of 5(8),3.9 out of 5,42%,"₦ 6,999","₦ 12,000",SHOE - Girls Sneakers - Sneakers For Ladies - Female Canvas
4.7 out of 5(6),4.7 out of 5,,"₦ 17,800",,Cloth Hanger With Shoe Rack
5 out of 5(1),5 out of 5,50%,"₦ 5,999","₦ 11,999",Men's Casual Easy Wear Walkabout Running Sport Sneakers
4.2 out of 5(6),4.2 out of 5,,"₦ 12,000",,Brown Men's Foreign Half Shoe
,,42%,"₦ 6,999","₦ 12,000",Ladies Everything Classy Indoor Sport Sneakers For Women - Outdoor Running Fashion
1 out of 5(1),1 out of 5,,"₦ 9,500",,SPORT Men Sports Black Trainers
4 out of 5(2),4 out of 5,,"₦ 15,000 - ₦ 17,000",,SPORT Men Soccer Boots Grey
5 out of 5(1),5 out of 5,,"₦ 14,500",,Kids Girls Lovely Shiny Sandals-Pink
4.1 out of 5(9),4.1 out of 5,,"₦ 29,500",,New  CONFIRM TIK TOK Design SHOE BLACK
5 out of 5(1),5 out of 5,48%,"₦ 15,400","₦ 29,800",Depally Men CRO Designers Shoe Black
4.5 out of 5(4),4.5 out of 5,,"₦ 14,000 - ₦ 14,500",,SPORT Men Football Fast Boot Orange
,,50%,"₦ 22,379","₦ 44,757",Men's All-match Leather Shoes
4.5 out of 5(6),4.5 out of 5,45%,"₦ 8,500","₦ 15,500",2-Way Unisex Adjustable Shoe Stretcher Shoe Expander
5 out of 5(3),5 out of 5,50%,"₦ 31,443","₦ 62,886",Men's High-end Lace-up Shoes
5 out of 5(1),5 out of 5,50%,"₦ 24,999","₦ 50,000",2023 Men's Cheap Casual Office Shoe - Brown + Shoe Box
,,8%,"₦ 55,000","₦ 60,000",Clarks Classy Men's Corporate Shoe - Black
,,2%,"₦ 28,290 - ₦ 31,905","₦ 28,778 - ₦ 32,393",Men's Shoes New Patent Leather Bright Face Pointed Men's Formal Business Leather Shoes Men Large Size British Shoes Men
3.6 out of 5(10),3.6 out of 5,45%,"₦ 18,670","₦ 33,800",DEPALLY CLASSIC TIE BROGUE DESIGNERS SHOES BLACK
4.3 out of 5(4),4.3 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot Orange
4.2 out of 5(6),4.2 out of 5,35%,"₦ 6,077","₦ 9,378",Defacto Girl  Slippers Slipper-Flipflop-Purple
5 out of 5(1),5 out of 5,,"₦ 20,000",,"Hat, Bag, Shoe Rack Organizer ( Multipurpose Rack Big Size)"
4.5 out of 5(15),4.5 out of 5,42%,"₦ 20,000 - ₦ 22,000","₦ 30,000 - ₦ 38,000",A Pair Of Adjustable Shoe Tree Shaper And Expander
3 out of 5(2),3 out of 5,26%,"₦ 29,209 - ₦ 30,037","₦ 39,574",Men's New Bright Leather Work Business Pointed Toe Shoes -Brown
3.9 out of 5(23),3.9 out of 5,,"₦ 4,500",,Lily & Dan Unisex Slip-on Sneakers -Black
3.9 out of 5(7),3.9 out of 5,64%,"₦ 24,950","₦ 69,126",Men's New Casual Leather Shoes Comfortable Black
5 out of 5(2),5 out of 5,,"₦ 7,000 - ₦ 8,000",,All Season Unisex Children's Canvass - White
4.7 out of 5(3),4.7 out of 5,60%,"₦ 22,448","₦ 56,119",ADIDAS Performance Sport Shoes Kids Fortarun X Cf K
3 out of 5(2),3 out of 5,35%,"₦ 21,980","₦ 33,700",VANGELO BUKKLE HEEL LEATHER  SHOES BROWN
5 out of 5(1),5 out of 5,60%,"₦ 23,920","₦ 59,799",ADIDAS Performance Slippers Kids Sandplay Od K
,,10%,"₦ 9,000","₦ 10,000",Children's Martin Leather Short Boots British Style-Black
3.3 out of 5(3),3.3 out of 5,66%,"₦ 11,999","₦ 35,000",Princess Gold Bowl Tie Shoe
,,17%,"₦ 50,000","₦ 60,000",Clarks Classy Men's Corporate Shoe - Black
5 out of 5(2),5 out of 5,41%,"₦ 8,000 - ₦ 8,500","₦ 13,500",BEST CHOICE MADE  2023 HIGH QUALITY CHILDREN WHITE SNEAKERS
5 out of 5(1),5 out of 5,,"₦ 15,000",,SPORT Men Soccer Boots Lemon
3.5 out of 5(2),3.5 out of 5,46%,"₦ 13,500","₦ 25,000",Santiago Mens Dress All Purpose HalfShoe Corporate Wedding Office Shoe T-5- Black
5 out of 5(1),5 out of 5,29%,"₦ 4,999 - ₦ 5,999","₦ 7,000",Beautiful Children Crocs  (flower On Head May Be Different)
5 out of 5(1),5 out of 5,44%,"₦ 24,999 - ₦ 25,999","₦ 45,000",Men's Business Casual Comfortable Formal Office Shoes - Luxury Wedding Shoes
5 out of 5(5),5 out of 5,,"₦ 19,000",,"Hat, Bag, Shoe Rack Organizer"
4.3 out of 5(3),4.3 out of 5,45%,"₦ 14,980","₦ 27,400",Vangelo MEN DOUBLE BUKKLE LEATHER SHOES BLACK
5 out of 5(2),5 out of 5,18%,"₦ 15,500","₦ 19,000",MANGO Quality Ladies Italian Shoes /Black Colour
,,,"₦ 7,607",,New Princess Baby Shoes INS Baby Shoes Bow Single Shoes Soft Sole Walking Shoes
5 out of 5(1),5 out of 5,23%,"₦ 25,000","₦ 32,640",Big Size Mens Loafers Shoes Casual Half Shoes-Black
4.5 out of 5(2),4.5 out of 5,,"₦ 13,300",,Adjustable Spring  Shoe Stretcher/expander/shaper
,,,"₦ 6,500",,Leather Children's Sport Casual Comfortable Unisex Sneakers Shoe-Black
4.2 out of 5(6),4.2 out of 5,42%,"₦ 6,999","₦ 11,999",2023 Back To School Scholar Running Sneakers - Black
,,20%,"₦ 4,000","₦ 5,000",Character Boy Slides- Black
5 out of 5(1),5 out of 5,13%,"₦ 6,500","₦ 7,500",Balllet Shoe - Pink Colour
5 out of 5(2),5 out of 5,,"₦ 13,000",,Sports Men Football Strong Boot Yellow
4.5 out of 5(2),4.5 out of 5,39%,"₦ 7,900","₦ 12,998",Kids Leather Martin Boots Girls Boys Sneaker Shoes - Brown
4 out of 5(1),4 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot White/Purple
5 out of 5(1),5 out of 5,40%,"₦ 36,255","₦ 60,510",Men's Italian Plus Size Smooth Leather Shoes Black
4.1 out of 5(70),4.1 out of 5,19%,"₦ 6,500","₦ 8,000",Aolong Kids Leather Sandals - Black
,,25%,"₦ 21,800","₦ 28,899",Sports Shoes Children Flash Sneakers Kids Children's Boys Breathable
,,26%,"₦ 46,959","₦ 63,699",Men Formal Party Business Leather Office British Dress Italian Shoes Male 431H
,,1%,"₦ 9,999","₦ 10,000",5-layer Shoe Rack Shelf With Fabric Cover
4.1 out of 5(84),4.1 out of 5,36%,"₦ 4,500","₦ 7,000",Lily & Dan Kids Unisex School Plimsolls -Black
3.5 out of 5(10),3.5 out of 5,,"₦ 9,800",,10 Layers Stackable Shoe Rack - 30 Pairs
4.8 out of 5(4),4.8 out of 5,50%,"₦ 29,000","₦ 58,200",Clarks Sophisticated Men's Leather Clark Shoe-
4.7 out of 5(10),4.7 out of 5,12%,"₦ 6,000","₦ 6,500 - ₦ 6,800",Trendy Unisex Lace-Up Black Canvas For Kids/Adults
,,18%,"₦ 45,906","₦ 56,006",New Men's Versatile Wedding Shoes Formal Shoes
,,,"₦ 7,000",,Boys Loafers Slip-Ons Shoes- Brown
4 out of 5(6),4 out of 5,54%,"₦ 24,312 - ₦ 41,004","₦ 52,476",Formal Shoes Men's New Casual Breathable Black Leather Shoes
5 out of 5(1),5 out of 5,,"₦ 25,000",,LASA 3 TIER BAMBOO SHOE BENCH STORAGE SHELF
,,61%,"₦ 24,845","₦ 63,779",Shoes Men Spring Business Dress Casual Shoes British Youth Wedding Shoes Best Man Men Shoes Trend England
3.7 out of 5(3),3.7 out of 5,29%,"₦ 4,999 - ₦ 5,299","₦ 7,000",Beautiful Children Crocs  (flower On Head May Be Different)
4.1 out of 5(11),4.1 out of 5,50%,"₦ 11,999","₦ 24,000","Santiago Mens Italian Leather Luxury, Office & Wedding Shoes Black"
4 out of 5(2),4 out of 5,,"₦ 14,500",,Kids Girls Lovely Black Sandals
4.5 out of 5(50),4.5 out of 5,33%,"₦ 15,780","₦ 23,500",Butfolo Strong Soccer Football Boot/Grey
4.4 out of 5(11),4.4 out of 5,39%,"₦ 12,500 - ₦ 19,500","₦ 20,500",Western Men Corporate Office Shoe & Occasions - Brown
5 out of 5(4),5 out of 5,21%,"₦ 32,100","₦ 40,600",Men Dress Shoes Plus Size Business Formal Office Shoes
4.3 out of 5(24),4.3 out of 5,62%,"₦ 11,500","₦ 30,000",Santiago 2022 New Mens Formal Casual Leather All Purpose Shoes - Black
1 out of 5(1),1 out of 5,,"₦ 4,000",,Newborn Baby Boy/Girl Sandals - Navy
3.4 out of 5(7),3.4 out of 5,8%,"₦ 3,400","₦ 3,700","Non Marking Heel Liner Prevent Blisters Und Cuts, Invisible Heel Pads Fit Any Shoe Colors"
2.3 out of 5(3),2.3 out of 5,34%,"₦ 13,200","₦ 20,000",Classic Style Men's Half Shoe
4.4 out of 5(5),4.4 out of 5,43%,"₦ 15,980","₦ 28,000",Men Brogue Slip On  Designers Shoe Black
3.9 out of 5(7),3.9 out of 5,18%,"₦ 8,200 - ₦ 9,000","₦ 10,000",Unisex White Sport/School Canvas For Kid
5 out of 5(1),5 out of 5,,"₦ 8,499",,BTS Back To School Brown Leather Cortina Unisex Kids Shoes
4 out of 5(2),4 out of 5,,"₦ 20,000",,"Hat & Shoe Rack( For Bag, Cap, Multipurpose Use )"
4 out of 5(1),4 out of 5,18%,"₦ 15,500","₦ 19,000",ANDARINA Quality Ladies Italian Shoes /Black Colour
,,56%,"₦ 14,800","₦ 33,700",DEPALLY CLIN DESIGNERS SHOE BLACK
,,50%,"₦ 48,888","₦ 97,776",Adroit Fashion Men's Fashion Formal Shoes Black Heighten 5CM Platform Slip On Shoes Elegant Suit Business Office Leather Shoes For Men High Quality Tassels Designer Party & Wedding Patent Leather Male Dress Shoes
5 out of 5(1),5 out of 5,51%,"₦ 18,800","₦ 38,000",New Arrival TRANING Boots ORANGE
5 out of 5(1),5 out of 5,,"₦ 8,000",,Kid's Sport Casual Comfortable Boy & Girl School Sneakers Shoe-Black
4.7 out of 5(12),4.7 out of 5,,"₦ 12,980",,Children Boys Moccasins Buckle Penny Loafers-Navy
,,18%,"₦ 8,200 - ₦ 9,000","₦ 10,000",Unisex White Sport/School Canvas For Kids/Adult
4.3 out of 5(7),4.3 out of 5,41%,"₦ 40,000","₦ 68,200",Clarks Men's Clark Loafers- Black
